text,label
餐廳晚餐：中環高級餐廳 153元,3
KTV唱歌：兩小時包廂 984元,3
家用品：洗衣粉 40元，青菜 69元,0
電影票：紅磡體育館門票 199元,3
水費：本月 837元,2
寬頻費：每月網絡 703元,2
的士費：從家到中環 317元,1
寬頻費：每月網絡 834元,2
便利店零食：橘子 50元，豬肉 28元,0
水費：本月 605元,2
KTV唱歌：兩小時包廂 776元,3
餐廳用餐：大麥克 13元，蛋撻 14元,4
酒吧飲料：奶茶 17元，可樂 34元,4
水費：本月 181元,2
水費：本月 152元,2
餐廳晚餐：尖沙咀高級餐廳 854元,3
快餐：炒飯套餐 917元,4
便利店零食：飲料 50元，豬肉 38元,0
寬頻費：每月網絡 33元,2
電影票：海洋公園門票 220元,3
茶餐廳早餐：牛扒 37元，意粉 34元,4
水電費：本月水費 877元,2
咖啡店：咖啡 915元,4
寬頻費：每月網絡 503元,2
咖啡店：可樂 639元,4
水費：本月 480元,2
電費單：空調使用 15元,2
演唱會門票：VIP座位 252元,3
家用品：橘子 28元，飲料 25元,0
餐廳晚餐：中環高級餐廳 751元,3
水果攤：薯片 44元，薯片 17元,0
停車費：商場停車場 118元,1
水電費：本月水費 462元,2
便利店零食：飲料 27元，飲料 25元,0
停車費：地下停車場 841元,1
茶餐廳早餐：炒飯 38元，蛋撻 96元,4
電費單：空調使用 420元,2
餐廳用餐：意粉 21元，意粉 10元,4
快餐：炒飯套餐 506元,4
煤氣費：煮飯用氣 249元,2
茶餐廳早餐：蛋撻 41元，炒飯 70元,4
KTV唱歌：兩小時包廂 778元,3
停車費：地下停車場 279元,1
巴士票：家到九龍 390元,1
超市購物：蘋果 13元，飲料 29元,0
地鐵票：尖沙咀到中環 109元,1
快餐：炒飯套餐 249元,4
演唱會門票：海洋公園 127元,3
水果攤：牙膏 11元，飲料 26元,0
水費：本月 849元,2
煤氣費：煮飯用氣 526元,2
停車費：地下停車場 12元,1
快餐：炒飯套餐 729元,4
水費：本月 971元,2
的士費：從九龍到公司 854元,1
KTV唱歌：兩小時包廂 736元,3
停車費：商場停車場 102元,1
水費：本月 877元,2
巴士票：家到尖沙咀 88元,1
電影票：UA戲院門票 750元,3
菜市場買菜：橘子 7元，洗衣粉 76元,0
演唱會門票：海洋公園 546元,3
咖啡店：奶茶 1000元,4
巴士票：中環到尖沙咀 619元,1
水費：本月 908元,2
菜市場買菜：牙膏 6元，橘子 60元,0
電影票：UA戲院門票 635元,3
餐廳用餐：炒飯 13元，炒飯 48元,4
停車費：地下停車場 975元,1
電影票：UA戲院門票 395元,3
超市購物：青菜 7元，橘子 20元,0
快餐：大麥克套餐 887元,4
酒吧飲料：咖啡 31元，啤酒 34元,4
巴士票：中環到九龍 74元,1
餐廳用餐：大麥克 32元，蛋撻 67元,4
餐廳晚餐：中環高級餐廳 814元,3
酒吧飲料：奶茶 41元，可樂 18元,4
便利店零食：飲料 17元，蘋果 76元,0
停車費：地下停車場 251元,1
巴士票：公司到中環 171元,1
水果攤：蘋果 32元，香蕉 37元,0
電影票：VIP座位門票 686元,3
餐廳用餐：大麥克 37元，大麥克 13元,4
KTV唱歌：兩小時包廂 660元,3
酒吧飲料：可樂 41元，可樂 65元,4
寬頻費：每月網絡 944元,2
的士費：從家到中環 678元,1
水果攤：橘子 22元，薯片 80元,0
餐廳晚餐：中環高級餐廳 119元,3
水費：本月 819元,2
電費單：空調使用 483元,2
停車費：商場停車場 704元,1
便利店零食：橘子 27元，豬肉 54元,0
咖啡店：奶茶 284元,4
KTV唱歌：兩小時包廂 131元,3
餐廳晚餐：尖沙咀高級餐廳 646元,3
寬頻費：每月網絡 861元,2
電影票：紅磡體育館門票 602元,3
酒吧飲料：啤酒 22元，可樂 12元,4
餐廳用餐：大麥克 17元，牛扒 28元,4
水電費：本月水費 342元,2
的士費：從中環到九龍 610元,1
茶餐廳早餐：意粉 42元，牛扒 63元,4
演唱會門票：VIP座位 297元,3
超市購物：橘子 23元，牙膏 86元,0
KTV唱歌：兩小時包廂 866元,3
超市購物：橘子 32元，橘子 28元,0
餐廳用餐：大麥克 27元，牛扒 20元,4
水電費：本月水費 817元,2
咖啡店：啤酒 661元,4
的士費：從家到公司 197元,1
停車費：地下停車場 336元,1
餐廳用餐：牛扒 36元，大麥克 33元,4
電影票：海洋公園門票 481元,3
餐廳用餐：意粉 47元，牛扒 67元,4
超市購物：香蕉 13元，牙膏 88元,0
演唱會門票：紅磡體育館 887元,3
停車費：地下停車場 756元,1
茶餐廳早餐：意粉 10元，蛋撻 57元,4
便利店零食：薯片 14元，蘋果 52元,0
咖啡店：啤酒 364元,4
電影票：VIP座位門票 495元,3
電費單：空調使用 390元,2
便利店零食：牛奶 10元，蘋果 34元,0
巴士票：家到九龍 91元,1
超市購物：蘋果 32元，蘋果 82元,0
餐廳晚餐：尖沙咀高級餐廳 840元,3
的士費：從中環到家 688元,1
的士費：從尖沙咀到中環 552元,1
的士費：從公司到公司 564元,1
餐廳晚餐：尖沙咀高級餐廳 28元,3
演唱會門票：UA戲院 485元,3
超市購物：薯片 21元，豬肉 15元,0
家用品：牛奶 25元，豬肉 67元,0
餐廳晚餐：尖沙咀高級餐廳 505元,3
的士費：從尖沙咀到公司 485元,1
餐廳用餐：牛扒 23元，意粉 88元,4
便利店零食：牙膏 45元，牙膏 82元,0
快餐：大麥克套餐 504元,4
KTV唱歌：兩小時包廂 466元,3
演唱會門票：VIP座位 353元,3
快餐：炒飯套餐 496元,4
餐廳晚餐：中環高級餐廳 280元,3
菜市場買菜：牙膏 27元，橘子 98元,0
電影票：海洋公園門票 904元,3
便利店零食：橘子 24元，薯片 19元,0
電影票：VIP座位門票 432元,3
菜市場買菜：蘋果 20元，橘子 72元,0
酒吧飲料：咖啡 50元，啤酒 73元,4
電費單：空調使用 593元,2
寬頻費：每月網絡 260元,2
地鐵票：尖沙咀到九龍 442元,1
煤氣費：煮飯用氣 406元,2
停車費：商場停車場 895元,1
電費單：空調使用 224元,2
的士費：從中環到家 223元,1
快餐：蛋撻套餐 232元,4
巴士票：家到九龍 725元,1
酒吧飲料：咖啡 42元，可樂 61元,4
巴士票：中環到中環 216元,1
電費單：空調使用 157元,2
的士費：從九龍到家 770元,1
便利店零食：薯片 11元，飲料 23元,0
家用品：薯片 38元，蘋果 73元,0
電費單：空調使用 15元,2
電費單：空調使用 765元,2
酒吧飲料：咖啡 24元，可樂 53元,4
水電費：本月水費 942元,2
家用品：豬肉 25元，牛奶 44元,0
水果攤：牛奶 8元，牛奶 78元,0
快餐：大麥克套餐 342元,4
快餐：蛋撻套餐 655元,4
水果攤：豬肉 17元，薯片 82元,0
便利店零食：洗衣粉 8元，薯片 35元,0
酒吧飲料：可樂 47元，可樂 50元,4
快餐：炒飯套餐 676元,4
菜市場買菜：香蕉 17元，青菜 35元,0
的士費：從中環到家 681元,1
演唱會門票：UA戲院 665元,3
寬頻費：每月網絡 730元,2
餐廳晚餐：尖沙咀高級餐廳 105元,3
水果攤：薯片 47元，牙膏 32元,0
咖啡店：啤酒 14元,4
水費：本月 933元,2
KTV唱歌：兩小時包廂 627元,3
KTV唱歌：兩小時包廂 782元,3
停車費：商場停車場 413元,1
便利店零食：豬肉 31元，牙膏 44元,0
地鐵票：家到中環 515元,1
水果攤：蘋果 29元，牛奶 13元,0
茶餐廳早餐：蛋撻 25元，牛扒 15元,4
酒吧飲料：咖啡 15元，啤酒 38元,4
煤氣費：煮飯用氣 868元,2
煤氣費：煮飯用氣 820元,2
水費：本月 213元,2
便利店零食：蘋果 11元，薯片 57元,0
KTV唱歌：兩小時包廂 459元,3
餐廳晚餐：尖沙咀高級餐廳 357元,3
煤氣費：煮飯用氣 923元,2
餐廳用餐：牛扒 14元，蛋撻 78元,4
茶餐廳早餐：意粉 24元，意粉 52元,4
演唱會門票：VIP座位 266元,3
煤氣費：煮飯用氣 688元,2
家用品：蘋果 5元，青菜 78元,0
超市購物：洗衣粉 50元，洗衣粉 55元,0
家用品：牙膏 24元，香蕉 31元,0
水電費：本月水費 989元,2
咖啡店：啤酒 205元,4
菜市場買菜：豬肉 9元，薯片 68元,0
煤氣費：煮飯用氣 151元,2
電費單：空調使用 155元,2
演唱會門票：UA戲院 101元,3
酒吧飲料：可樂 34元，奶茶 61元,4
電費單：空調使用 165元,2
的士費：從家到中環 62元,1
便利店零食：薯片 23元，飲料 62元,0
的士費：從尖沙咀到九龍 470元,1
菜市場買菜：蘋果 31元，蘋果 65元,0
餐廳用餐：牛扒 9元，牛扒 46元,4
演唱會門票：VIP座位 264元,3
菜市場買菜：洗衣粉 48元，洗衣粉 26元,0
家用品：香蕉 9元，飲料 52元,0
酒吧飲料：咖啡 8元，咖啡 17元,4
餐廳晚餐：尖沙咀高級餐廳 400元,3
便利店零食：青菜 38元，豬肉 43元,0
寬頻費：每月網絡 133元,2
酒吧飲料：可樂 13元，可樂 37元,4
菜市場買菜：牙膏 5元，蘋果 61元,0
水費：本月 355元,2
水費：本月 625元,2
KTV唱歌：兩小時包廂 561元,3
快餐：牛扒套餐 158元,4
KTV唱歌：兩小時包廂 228元,3
水費：本月 460元,2
KTV唱歌：兩小時包廂 79元,3
演唱會門票：海洋公園 927元,3
KTV唱歌：兩小時包廂 418元,3
地鐵票：公司到尖沙咀 177元,1
演唱會門票：海洋公園 623元,3
地鐵票：家到尖沙咀 831元,1
茶餐廳早餐：炒飯 6元，牛扒 38元,4
電費單：空調使用 724元,2
茶餐廳早餐：牛扒 23元，牛扒 47元,4
快餐：蛋撻套餐 975元,4
停車費：地下停車場 920元,1
咖啡店：咖啡 489元,4
煤氣費：煮飯用氣 615元,2
菜市場買菜：青菜 33元，蘋果 20元,0
KTV唱歌：兩小時包廂 476元,3
演唱會門票：VIP座位 237元,3
茶餐廳早餐：牛扒 19元，大麥克 69元,4
電費單：空調使用 856元,2
的士費：從家到九龍 462元,1
巴士票：尖沙咀到尖沙咀 663元,1
水費：本月 69元,2
電費單：空調使用 664元,2
家用品：香蕉 10元，香蕉 77元,0
快餐：炒飯套餐 251元,4
電費單：空調使用 13元,2
的士費：從尖沙咀到中環 571元,1
演唱會門票：海洋公園 256元,3
快餐：牛扒套餐 692元,4
酒吧飲料：奶茶 17元，可樂 71元,4
菜市場買菜：橘子 20元，橘子 61元,0
水果攤：牛奶 44元，蘋果 40元,0
菜市場買菜：牙膏 29元，薯片 67元,0
KTV唱歌：兩小時包廂 252元,3
家用品：薯片 29元，橘子 43元,0
菜市場買菜：青菜 37元，飲料 14元,0
水費：本月 547元,2
茶餐廳早餐：大麥克 49元，炒飯 15元,4
停車費：地下停車場 496元,1
便利店零食：薯片 36元，香蕉 32元,0
電影票：紅磡體育館門票 230元,3
菜市場買菜：香蕉 5元，蘋果 53元,0
家用品：牙膏 26元，牛奶 100元,0
水費：本月 989元,2
地鐵票：家到九龍 292元,1
電影票：VIP座位門票 143元,3
KTV唱歌：兩小時包廂 923元,3
水果攤：橘子 49元，洗衣粉 17元,0
電影票：VIP座位門票 299元,3
咖啡店：啤酒 609元,4
菜市場買菜：飲料 15元，薯片 22元,0
菜市場買菜：蘋果 30元，牙膏 23元,0
巴士票：家到公司 224元,1
水費：本月 690元,2
便利店零食：橘子 19元，豬肉 54元,0
演唱會門票：海洋公園 115元,3
寬頻費：每月網絡 961元,2
煤氣費：煮飯用氣 747元,2
KTV唱歌：兩小時包廂 315元,3
電影票：UA戲院門票 22元,3
KTV唱歌：兩小時包廂 316元,3
水果攤：橘子 5元，薯片 65元,0
餐廳用餐：意粉 23元，炒飯 70元,4
快餐：牛扒套餐 165元,4
家用品：橘子 32元，香蕉 99元,0
寬頻費：每月網絡 766元,2
餐廳用餐：大麥克 40元，意粉 73元,4
地鐵票：家到家 785元,1
的士費：從公司到中環 989元,1
KTV唱歌：兩小時包廂 912元,3
演唱會門票：紅磡體育館 510元,3
停車費：地下停車場 560元,1
地鐵票：公司到九龍 411元,1
咖啡店：可樂 599元,4
巴士票：中環到家 196元,1
水果攤：橘子 15元，青菜 45元,0
茶餐廳早餐：意粉 20元，蛋撻 46元,4
水果攤：蘋果 13元，牙膏 82元,0
餐廳用餐：大麥克 14元，意粉 99元,4
寬頻費：每月網絡 970元,2
地鐵票：家到九龍 594元,1
的士費：從家到中環 139元,1
電影票：VIP座位門票 913元,3
巴士票：公司到家 803元,1
餐廳晚餐：中環高級餐廳 418元,3
咖啡店：啤酒 927元,4
餐廳晚餐：中環高級餐廳 58元,3
咖啡店：可樂 550元,4
地鐵票：中環到中環 355元,1
地鐵票：中環到家 11元,1
水費：本月 947元,2
茶餐廳早餐：蛋撻 12元，蛋撻 44元,4
的士費：從家到尖沙咀 17元,1
巴士票：公司到中環 667元,1
停車費：地下停車場 251元,1
水果攤：飲料 36元，薯片 86元,0
KTV唱歌：兩小時包廂 961元,3
巴士票：九龍到公司 580元,1
停車費：商場停車場 257元,1
寬頻費：每月網絡 244元,2
電費單：空調使用 477元,2
水費：本月 69元,2
快餐：大麥克套餐 245元,4
巴士票：中環到家 144元,1
水費：本月 188元,2
停車費：地下停車場 445元,1
餐廳用餐：蛋撻 41元，炒飯 34元,4
超市購物：飲料 48元，蘋果 98元,0
地鐵票：公司到九龍 895元,1
水果攤：牛奶 43元，飲料 39元,0
菜市場買菜：洗衣粉 19元，牙膏 76元,0
家用品：薯片 42元，豬肉 61元,0
電費單：空調使用 634元,2
家用品：牙膏 25元，飲料 100元,0
寬頻費：每月網絡 378元,2
咖啡店：咖啡 64元,4
地鐵票：尖沙咀到公司 472元,1
水果攤：香蕉 29元，青菜 84元,0
巴士票：中環到九龍 34元,1
快餐：炒飯套餐 961元,4
便利店零食：飲料 47元，香蕉 87元,0
家用品：蘋果 18元，牛奶 87元,0
酒吧飲料：可樂 14元，可樂 54元,4
演唱會門票：紅磡體育館 428元,3
超市購物：豬肉 31元，薯片 76元,0
超市購物：洗衣粉 43元，豬肉 67元,0
水果攤：青菜 12元，洗衣粉 52元,0
水費：本月 16元,2
KTV唱歌：兩小時包廂 238元,3
演唱會門票：UA戲院 836元,3
電影票：VIP座位門票 581元,3
停車費：商場停車場 137元,1
巴士票：尖沙咀到家 163元,1
電費單：空調使用 88元,2
水果攤：牙膏 33元，青菜 99元,0
演唱會門票：VIP座位 199元,3
水電費：本月水費 84元,2
寬頻費：每月網絡 232元,2
超市購物：豬肉 39元，牙膏 70元,0
水電費：本月水費 405元,2
KTV唱歌：兩小時包廂 791元,3
地鐵票：九龍到九龍 685元,1
家用品：薯片 33元，牙膏 53元,0
菜市場買菜：橘子 50元，飲料 34元,0
電影票：海洋公園門票 317元,3
超市購物：洗衣粉 5元，洗衣粉 94元,0
水電費：本月水費 839元,2
快餐：大麥克套餐 200元,4
酒吧飲料：啤酒 6元，咖啡 87元,4
的士費：從家到中環 56元,1
的士費：從家到家 115元,1
KTV唱歌：兩小時包廂 312元,3
地鐵票：中環到公司 604元,1
家用品：香蕉 35元，青菜 49元,0
水果攤：飲料 5元，香蕉 80元,0
地鐵票：尖沙咀到公司 167元,1
酒吧飲料：可樂 24元，奶茶 92元,4
超市購物：牛奶 5元，薯片 27元,0
寬頻費：每月網絡 792元,2
水費：本月 766元,2
巴士票：九龍到九龍 770元,1
寬頻費：每月網絡 643元,2
的士費：從公司到中環 89元,1
巴士票：尖沙咀到公司 500元,1
煤氣費：煮飯用氣 529元,2
水費：本月 871元,2
停車費：地下停車場 680元,1
KTV唱歌：兩小時包廂 847元,3
電費單：空調使用 766元,2
茶餐廳早餐：蛋撻 22元，大麥克 23元,4
快餐：牛扒套餐 540元,4
煤氣費：煮飯用氣 852元,2
寬頻費：每月網絡 203元,2
的士費：從九龍到公司 85元,1
酒吧飲料：咖啡 38元，奶茶 50元,4
家用品：洗衣粉 39元，豬肉 38元,0
超市購物：蘋果 11元，香蕉 58元,0
KTV唱歌：兩小時包廂 548元,3
停車費：地下停車場 796元,1
電影票：海洋公園門票 239元,3
水電費：本月水費 699元,2
便利店零食：橘子 50元，青菜 85元,0
水電費：本月水費 376元,2
餐廳用餐：大麥克 41元，大麥克 95元,4
巴士票：尖沙咀到中環 345元,1
餐廳晚餐：尖沙咀高級餐廳 264元,3
酒吧飲料：奶茶 49元，奶茶 54元,4
餐廳晚餐：中環高級餐廳 117元,3
茶餐廳早餐：炒飯 41元，蛋撻 67元,4
酒吧飲料：可樂 32元，啤酒 76元,4
地鐵票：尖沙咀到中環 16元,1
酒吧飲料：咖啡 7元，咖啡 59元,4
停車費：商場停車場 815元,1
咖啡店：咖啡 248元,4
地鐵票：中環到中環 880元,1
的士費：從尖沙咀到公司 292元,1
的士費：從中環到公司 840元,1
寬頻費：每月網絡 858元,2
演唱會門票：海洋公園 434元,3
水電費：本月水費 736元,2
菜市場買菜：香蕉 11元，薯片 77元,0
地鐵票：中環到中環 840元,1
電費單：空調使用 167元,2
超市購物：牙膏 8元，蘋果 61元,0
水費：本月 530元,2
餐廳用餐：牛扒 7元，蛋撻 83元,4
水電費：本月水費 542元,2
的士費：從九龍到家 664元,1
咖啡店：可樂 385元,4
快餐：蛋撻套餐 411元,4
餐廳晚餐：尖沙咀高級餐廳 321元,3
停車費：商場停車場 746元,1
煤氣費：煮飯用氣 512元,2
地鐵票：九龍到九龍 193元,1
快餐：蛋撻套餐 271元,4
超市購物：豬肉 38元，豬肉 25元,0
咖啡店：奶茶 820元,4
電影票：海洋公園門票 13元,3
電費單：空調使用 39元,2
咖啡店：可樂 561元,4
水電費：本月水費 496元,2
巴士票：中環到公司 929元,1
超市購物：洗衣粉 23元，牙膏 31元,0
地鐵票：公司到尖沙咀 474元,1
餐廳用餐：牛扒 13元，蛋撻 86元,4
餐廳用餐：炒飯 20元，牛扒 13元,4
便利店零食：青菜 48元，豬肉 76元,0
地鐵票：公司到中環 862元,1
水費：本月 37元,2
KTV唱歌：兩小時包廂 582元,3
KTV唱歌：兩小時包廂 566元,3
快餐：意粉套餐 191元,4
快餐：牛扒套餐 45元,4
菜市場買菜：橘子 24元，橘子 23元,0
電影票：UA戲院門票 390元,3
KTV唱歌：兩小時包廂 274元,3
水果攤：香蕉 43元，牙膏 99元,0
電費單：空調使用 993元,2
電影票：VIP座位門票 428元,3
餐廳晚餐：尖沙咀高級餐廳 516元,3
餐廳晚餐：尖沙咀高級餐廳 89元,3
水電費：本月水費 942元,2
水費：本月 105元,2
水電費：本月水費 300元,2
菜市場買菜：青菜 39元，牙膏 88元,0
茶餐廳早餐：蛋撻 18元，大麥克 59元,4
地鐵票：九龍到中環 670元,1
水電費：本月水費 440元,2
菜市場買菜：薯片 38元，青菜 70元,0
地鐵票：九龍到九龍 331元,1
停車費：地下停車場 355元,1
的士費：從家到尖沙咀 348元,1
寬頻費：每月網絡 166元,2
停車費：地下停車場 939元,1
地鐵票：尖沙咀到中環 747元,1
巴士票：九龍到九龍 808元,1
電影票：VIP座位門票 243元,3
水費：本月 200元,2
KTV唱歌：兩小時包廂 134元,3
酒吧飲料：奶茶 11元，可樂 78元,4
餐廳晚餐：中環高級餐廳 948元,3
地鐵票：中環到九龍 391元,1
茶餐廳早餐：牛扒 26元，牛扒 11元,4
水費：本月 102元,2
酒吧飲料：啤酒 42元，咖啡 81元,4
停車費：商場停車場 176元,1
水電費：本月水費 199元,2
